[paddleocr-kannada] conf=0.483 | H mn | box=(710, 559, 740, 570)
[paddleocr-english] conf=0.690 | tond | box=(735, 539, 784, 554)
[paddleocr-english] conf=0.499 | TAS | box=(659, 530, 684, 539)
[paddleocr-kannada] conf=0.519 | I | box=(922, 512, 939, 534)
[paddleocr-kannada] conf=0.532 | Aifk. | box=(889, 492, 939, 516)
[paddleocr-kannada] conf=0.455 | What. | box=(691, 487, 723, 508)
[paddleocr-kannada] conf=0.710 | .. | box=(832, 460, 857, 475)
[paddleocr-kannada] conf=0.512 | ೊಧh | box=(855, 443, 925, 475)
[paddleocr-kannada] conf=0.541 | Pt.?J? | box=(271, 433, 392, 471)
[paddleocr-kannada] conf=0.547 | Woh. | box=(810, 435, 850, 451)
[paddleocr-kannada] conf=0.540 | Wh irh | box=(852, 427, 907, 449)
[paddleocr-kannada] conf=0.508 | Yn Jlel y. | box=(608, 404, 700, 426)
[paddleocr-kannada] conf=0.490 | Ts+ + ++++.. | box=(694, 395, 850, 421)
[paddleocr-english] conf=0.630 | KAROER" | box=(847, 381, 919, 408)
[paddleocr-english] conf=0.583 | . | box=(173, 342, 491, 385)
[paddleocr-kannada] conf=0.955 | H | box=(1007, 294, 1023, 308)
[paddleocr-english] conf=0.905 | CORe | box=(955, 288, 987, 300)
[paddleocr-kannada] conf=0.948 | ಗ | box=(956, 277, 965, 286)
[paddleocr-kannada] conf=0.577 | e e | box=(646, 259, 751, 283)
[paddleocr-kannada] conf=0.649 | Oh. | box=(162, 248, 183, 262)
[paddleocr-kannada] conf=0.546 | He. | box=(580, 240, 710, 264)
[paddleocr-english] conf=0.736 | 12 | box=(398, 237, 480, 255)
[paddleocr-kannada] conf=0.715 | Het. | box=(581, 238, 610, 250)
[paddleocr-english] conf=0.842 | 125 | box=(149, 227, 179, 247)
[paddleocr-kannada] conf=0.462 | D. | box=(155, 211, 169, 224)
[paddleocr-english] conf=0.819 | 8 | box=(820, 208, 842, 221)
[paddleocr-english] conf=0.499 | S | box=(177, 203, 189, 213)
[paddleocr-english] conf=0.501 | yoys | box=(753, 198, 807, 215)
[paddleocr-kannada] conf=0.692 | + | box=(806, 191, 857, 211)
[paddleocr-kannada] conf=0.713 | Iat. | box=(150, 191, 173, 208)
[paddleocr-english] conf=0.487 | Pforaama | box=(200, 174, 344, 205)
[paddleocr-english] conf=0.463 | ogcaesokeg | box=(576, 170, 707, 197)
[paddleocr-kannada] conf=0.534 | H m | box=(703, 173, 736, 184)
[paddleocr-english] conf=0.536 | Gouadwagonefen | box=(193, 155, 354, 186)
[paddleocr-english] conf=0.473 | sennohuy | box=(409, 152, 495, 180)
[paddleocr-kannada] conf=0.528 | I a ad on adh at | box=(577, 149, 718, 178)
[paddleocr-kannada] conf=0.506 | Ah efa! | box=(803, 149, 854, 161)
[paddleocr-kannada] conf=0.462 | W | box=(533, 140, 590, 158)
[paddleocr-kannada] conf=0.694 | Whe? | box=(233, 136, 288, 161)
[paddleocr-kannada] conf=0.490 | H | box=(244, 130, 255, 150)
[paddleocr-kannada] conf=0.899 | I | box=(229, 114, 249, 132)
[paddleocr-kannada] conf=0.666 | e. | box=(546, 105, 570, 130)
[paddleocr-kannada] conf=0.575 | Hlf sht | box=(283, 93, 329, 114)
[paddleocr-kannada] conf=0.657 | Wha tiht | box=(597, 89, 651, 108)
[paddleocr-kannada] conf=0.816 | I. | box=(223, 70, 257, 124)
[paddleocr-kannada] conf=0.533 | U l as fa. | box=(723, 49, 806, 63)
[paddleocr-english] conf=0.492 | C | box=(708, 50, 718, 59)
[paddleocr-english] conf=0.482 | cdar | box=(644, 44, 681, 55)
[paddleocr-english] conf=0.487 | a | box=(562, 43, 621, 54)
[paddleocr-english] conf=0.958 | MUTATION REGISTER | box=(635, 31, 714, 42)
[paddleocr-english] conf=0.955 | MUTATION REGISTER | box=(324, 26, 409, 47)
