[001] conf=0.564 | +$++ Iy
[002] conf=0.720 | HUTATIB REGISTEr
[003] conf=0.567 | Cid an ah tanim.
[004] conf=0.732 | Ferrmm Mh.
[005] conf=0.570 | ೯
[006] conf=0.584 | Or!at ghat.
[007] conf=0.506 | Iet r
[008] conf=0.513 | I.
[009] conf=0.620 | Hh ts.
[010] conf=0.568 | E a s
[011] conf=0.615 | F.್
[012] conf=0.585 | ah Aa EeF?
[013] conf=0.518 | O.
[014] conf=0.579 | .aI mi.
[015] conf=0.660 | A s.
[016] conf=0.563 | ಮok..
[017] conf=0.553 | .
[018] conf=0.583 | G gh.
[019] conf=0.539 | H
[020] conf=0.534 | Je sepr?
[021] conf=0.549 | S- hi am
[022] conf=0.569 | Thl?
[023] conf=0.734 | I...
[024] conf=0.540 | I
[025] conf=0.684 | H--
[026] conf=0.544 | ಗ
[027] conf=0.528 | Hes.
[028] conf=0.595 | Shin
[029] conf=0.554 | Wee
[030] conf=0.515 | Hi
[031] conf=0.756 | H?
[032] conf=0.680 | ಕ್
[033] conf=0.782 | CORE
[034] conf=0.680 | N.
[035] conf=0.646 | Fದೈ.
[036] conf=0.658 | . Sfas o.
[037] conf=0.505 | K
[038] conf=0.534 | Hehee?
[039] conf=0.584 | Ea?
[040] conf=0.588 | Hs
[041] conf=0.532 | Haa s.
[042] conf=0.746 | ಕಾ
[043] conf=0.506 | I.A arp ok
[044] conf=0.646 | I--.
[045] conf=0.501 | Sue
[046] conf=0.601 | Thas aI goa h ses.
[047] conf=0.596 | Wea ghsoo?
[048] conf=0.601 | ಸ.ಎ
[049] conf=0.708 | Tas to.
[050] conf=0.510 | I p!
[051] conf=0.577 | Fse 
[052] conf=0.781 | I
[053] conf=0.823 | 8
[054] conf=0.520 | Atha
[055] conf=0.598 | I
[056] conf=0.515 | Soಕg
[057] conf=0.645 | H.
