[001] conf=0.754 | a
[002] conf=0.566 | Nohe Jegh.
[003] conf=0.689 | I.
[004] conf=0.586 | ?a
[005] conf=0.605 | ಕ್ರಾ
[006] conf=0.510 | 'ap E.
[007] conf=0.566 | W+-se!
[008] conf=0.567 | Ih +
[009] conf=0.540 | Thl E To+ I sjpet.
[010] conf=0.616 | Pet p-
[011] conf=0.585 | Haau pit.
[012] conf=0.589 | Iuos.
[013] conf=0.940 | !
[014] conf=0.584 | t.
[015] conf=0.589 | I su.
[016] conf=0.686 | 'F -r heen.
[017] conf=0.517 | JL f.
[018] conf=0.715 | Why!
[019] conf=0.520 | An . at.
[020] conf=0.716 | Cre
[021] conf=0.526 | I yh a.
[022] conf=0.566 | Ia' -e.
[023] conf=0.501 | Fia. thr
[024] conf=0.644 | I I.
[025] conf=0.682 | I
[026] conf=0.534 | Jsi-I
[027] conf=0.651 | u t mI.
[028] conf=0.511 | G, a...
[029] conf=0.654 | + +
[030] conf=0.675 | + 
[031] conf=0.638 | He
[032] conf=0.521 | .
[033] conf=0.557 | +yh.
[034] conf=0.533 | ++$a
[035] conf=0.556 | ++++ + ia t.
[036] conf=0.857 | -
[037] conf=0.604 | ++$++ u
[038] conf=0.629 | +++
[039] conf=0.964 | I
[040] conf=0.682 | + 
[041] conf=0.522 | Ia yhi.
[042] conf=0.532 | I et.
[043] conf=0.558 | I .
[044] conf=0.506 | Et
[045] conf=0.533 | H.F.
[046] conf=0.500 | ADI+INH!
[047] conf=0.591 | HE,STEI
[048] conf=0.543 | Horinh
