Rotation 0: 33 lines, conf=0.6481
[001] conf=0.997 | REGISTER
[002] conf=0.807 | I'll.
[003] conf=0.645 | HUTTTN
[004] conf=0.694 | Iy
[005] conf=0.830 | Form Ne.
[006] conf=0.504 | Yhat he
[007] conf=0.536 | I
[008] conf=0.508 | H
[009] conf=0.570 | Is
[010] conf=0.634 | .
[011] conf=0.894 | H
[012] conf=0.584 | H s.
[013] conf=0.660 | Iಟ
[014] conf=0.887 | I
[015] conf=0.702 | He
[016] conf=0.772 | As oh.
[017] conf=0.670 | H
[018] conf=0.592 | Ahay a o.
[019] conf=0.619 | 322,
[020] conf=0.519 | Y s hasom?.
[021] conf=0.548 | I s.
[022] conf=0.574 | I ise
[023] conf=0.657 | ನಿ
[024] conf=0.834 | 125f
[025] conf=0.635 | e.
[026] conf=0.552 | I aa ty
[027] conf=0.548 | An del .
[028] conf=0.640 | ses.
[029] conf=0.628 | ಟೌ.೨
[030] conf=0.510 | Ids.
[031] conf=0.539 | ಖಳ
[032] conf=0.511 | ssು
[033] conf=0.589 | Hh
